Package                            Version
---------------------------------- -----------
absl-py                            2.3.1
accelerate                         1.9.0
aiohappyeyeballs                   2.3.4
aiohttp                            3.10.0
aiosignal                          1.3.1
alpha_vantage                      3.0.0
altair                             5.3.0
altgraph                           0.17.4
annotated-types                    0.7.0
anyio                              4.9.0
astunparse                         1.6.3
attrs                              23.2.0
Automat                            25.4.16
babel                              2.17.0
beautifulsoup4                     4.12.3
bioc                               2.1
blinker                            1.6.2
boto3                              1.39.11
botocore                           1.39.11
branca                             0.8.1
Brotli                             1.1.0
build                              1.2.2.post1
cabarchive                         0.2.4
CacheControl                       0.14.3
cachetools                         5.3.3
camelot-py                         1.0.0
certifi                            2024.2.2
cffi                               1.16.0
chardet                            5.2.0
charset-normalizer                 3.3.2
cleo                               2.1.0
click                              8.1.3
colorama                           0.4.6
colorlog                           6.9.0
comtypes                           1.4.11
conllu                             4.5.3
constantly                         23.10.4
contourpy                          1.3.2
crashtest                          0.4.1
crypto                             1.4.1
cryptography                       43.0.0
cssselect                          1.3.0
cssselect2                         0.7.0
cssutils                           2.11.1
customtkinter                      5.2.2
cx_Freeze                          8.3.0
cx_Logging                         3.2.1
cycler                             0.12.1
darkdetect                         0.8.0
dash                               3.1.1
dataclasses-json                   0.6.7
defusedxml                         0.7.1
Deprecated                         1.2.18
distlib                            0.3.8
distro                             1.9.0
dnspython                          2.7.0
docopt                             0.6.2
docutils                           0.21.2
docx                               0.2.4
docx2txt                           0.9
docxcompose                        1.4.0
dulwich                            0.22.8
easygui                            0.98.3
EasyProcess                        1.1
einops                             0.8.1
entrypoint2                        1.1
et-xmlfile                         1.1.0
Faker                              37.4.2
fastapi                            0.116.1
fastjsonschema                     2.21.1
filelock                           3.15.4
findpython                         0.6.3
flair                              0.15.1
Flask                              2.3.2
flask-cors                         6.0.1
Flask-Mail                         0.10.0
Flask-SQLAlchemy                   3.1.1
flatbuffers                        25.2.10
folium                             0.20.0
fonttools                          4.53.1
frozendict                         2.4.4
frozenlist                         1.4.1
fsspec                             2025.7.0
ftfy                               6.3.1
gast                               0.6.0
gdown                              5.2.0
geographiclib                      2.0
geopy                              2.4.1
gitdb                              4.0.11
GitPython                          3.1.43
google-pasta                       0.2.0
GPUtil                             1.4.0
greenlet                           3.2.3
grpcio                             1.73.1
h11                                0.16.0
h5py                               3.14.0
html5lib                           1.1
httpcore                           1.0.9
httpx                              0.28.1
httpx-socks                        0.10.1
httpx-sse                          0.4.1
huggingface-hub                    0.33.4
hyperlink                          21.0.0
idna                               3.7
imagesize                          1.4.1
importlib-metadata                 6.7.0
incremental                        24.7.2
installer                          0.7.0
instaloader                        4.14.1
intervaltree                       3.1.0
itemadapter                        0.11.0
itemloaders                        1.3.2
itsdangerous                       2.1.2
jaraco.classes                     3.4.0
jaraco.context                     5.3.0
jaraco.functools                   4.0.1
Jinja2                             3.1.2
jiter                              0.10.0
jmespath                           1.0.1
joblib                             1.5.1
jsonlines                          4.0.0
jsonpatch                          1.33
jsonpointer                        3.0.0
jsonschema                         4.22.0
jsonschema-specifications          2023.12.1
keras                              3.10.0
keyboard                           0.13.5
keyring                            25.2.1
kiwisolver                         1.4.8
langchain                          0.3.26
langchain-community                0.3.27
langchain-core                     0.3.71
langchain-openai                   0.3.28
langchain-text-splitters           0.3.8
langdetect                         1.0.9
langsmith                          0.4.8
libclang                           18.1.1
lief                               0.16.5
lightgbm                           4.6.0
loguru                             0.7.3
lxml                               5.1.0
Markdown                           3.6
markdown-it-py                     3.0.0
MarkupSafe                         2.1.3
marshmallow                        3.26.1
matplotlib                         3.10.3
mdurl                              0.1.2
ml_dtypes                          0.5.1
more-itertools                     10.3.0
MouseInfo                          0.1.3
mpld3                              0.5.10
mpmath                             1.3.0
msgpack                            1.1.1
